Player,Club,League,Position,Age,Nationality,Weekly Wage,Contract until,Season
"Tobias Gorton","Northgate Rovers",Example League (ENG),Forward,26,Ireland,"£15,339",30.6.2027,2026/27
"Kieran Northrop","Northgate Rovers",Example League (ENG),Goalkeeper,36,Ireland,"£17,569",30.6.2030,2026/27
"Tobias Prentice","Northgate Rovers",Example League (ENG),Forward,23,Nigeria,"£10,181",30.6.2027,2026/27
"Jarrod Gorton","Northgate Rovers",Example League (ENG),Defender,20,Portugal,"£15,346",30.6.2030,2026/27
"Rowan Rushton","Northgate Rovers",Example League (ENG),Defender,25,Portugal,"£13,689",30.6.2027,2026/27
"Reece Maddox","Northgate Rovers",Example League (ENG),Goalkeeper,21,Ireland,"£12,309",30.6.2029,2026/27
"Rowan Prentice","Northgate Rovers",Example League (ENG),Forward,24,Sweden,"£15,152",30.6.2028,2026/27
"Dominic Maddox","Northgate Rovers",Example League (ENG),Goalkeeper,26,England,"£27,547",30.6.2029,2026/27
"Ellis Northrop","Northgate Rovers",Example League (ENG),Midfielder,28,Nigeria,"£14,131",30.6.2027,2026/27
"Jarrod Thorne","Northgate Rovers",Example League (ENG),Forward,27,Ireland,"£7,156",30.6.2030,2026/27
"Dominic Thorne","Northgate Rovers",Example League (ENG),Goalkeeper,23,Nigeria,"£40,687",30.6.2030,2026/27
"Rowan Winslow","Northgate Rovers",Example League (ENG),Midfielder,25,Scotland,"£18,864",30.6.2030,2026/27
"Tobias Northrop","Northgate Rovers",Example League (ENG),Goalkeeper,27,Ireland,"£15,892",30.6.2027,2026/27
"Tobias Winslow","Northgate Rovers",Example League (ENG),Defender,26,Nigeria,"£13,092",30.6.2027,2026/27
"Leon Ashworth","Northgate Rovers",Example League (ENG),Goalkeeper,22,Nigeria,"£13,270",30.6.2030,2026/27
"Marcus Halliwell","Northgate Rovers",Example League (ENG),Goalkeeper,23,Sweden,"£20,205",30.6.2027,2026/27
"Tobias Thorne","Northgate Rovers",Example League (ENG),Midfielder,20,Nigeria,"£15,302",30.6.2030,2026/27
"Ellis Gorton","Northgate Rovers",Example League (ENG),Goalkeeper,26,Portugal,"£10,641",30.6.2027,2026/27
